sha,refactoring_type,url,match_type
ef01083cb8390f0c7c48c3651adbf6338312050f,Rename Class,https://github.com/DistrictDataLabs/yellowbrick/commit/ef01083cb8390f0c7c48c3651adbf6338312050f,TP
ef01083cb8390f0c7c48c3651adbf6338312050f,Rename Class,,FP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,Move Module,https://github.com/YerevaNN/mimic3-benchmarks/commit/eec1d55cb4f4778d3f06012dcd9cc3504ea4c5b0,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
ee90695ad97f8750a8329116c315859ce3e527ee,Rename Variable,https://github.com/OpenNMT/OpenNMT-py/commit/ee90695ad97f8750a8329116c315859ce3e527ee,TP
